Departamento  ,Territorio   ,Municipio                  ,Código
              ,Territorio 1 ,                           ,T1
              ,Territorio 2 ,                           ,T2
              ,Territorio 3 ,                           ,T3
              ,Territorio 4 ,                           ,T4
              ,Territorio 5 ,                           ,T5
              ,Territorio 6 ,                           ,T6
              ,Territorio 7 ,                           ,T7
              ,Territorio 8 ,                           ,T8
              ,Territorio 9 ,                           ,T9
              ,Territorio 10,                           ,T10
GUATEMALA     ,             ,                           ,1
EL PROGRESO   ,             ,                           ,2
SACATEPÉQUEZ  ,             ,                           ,3
CHIMALTENANGO ,             ,                           ,4
ESCUINTLA     ,             ,                           ,5
SANTA ROSA    ,             ,                           ,6
SOLOLÁ        ,             ,                           ,7
TOTONICAPÁN   ,             ,                           ,8
QUETZALTENANGO,             ,                           ,9
SUCHITEPEQUEZ ,             ,                           ,10
RETALHULEU    ,             ,                           ,11
SAN MARCOS    ,             ,                           ,12
HUEHUETENANGO ,             ,                           ,13
QUICHÉ        ,             ,                           ,14
BAJA VERAPAZ  ,             ,                           ,15
ALTA VERAPAZ  ,             ,                           ,16
PETÉN         ,             ,                           ,17
IZABAL        ,             ,                           ,18
ZACAPA        ,             ,                           ,19
CHIQUIMULA    ,             ,                           ,20
JALAPA        ,             ,                           ,21
JUTIAPA       ,             ,                           ,22
1             ,T10          ,GUATEMALA                  ,101
1             ,T9           ,SANTA CATARINA PINULA      ,102
1             ,T9           ,SAN JOSÉ PINULA            ,103
1             ,T5           ,SAN JOSÉ DEL GOLFO         ,104
1             ,T5           ,PALENCIA                   ,105
1             ,T9           ,CHINAUTLA                  ,106
1             ,T9           ,SAN PEDRO AYAMPUC          ,107
1             ,T10          ,MIXCO                      ,108
1             ,T9           ,SAN PEDRO SACATEPÉQUEZ     ,109
1             ,T9           ,SAN JUAN SACATEPÉQUEZ      ,110
1             ,T5           ,SAN RAYMUNDO               ,111
1             ,T5           ,CHUARRANCHO                ,112
1             ,T9           ,FRAIJANES                  ,113
1             ,T9           ,AMATITLÁN                  ,114
1             ,T10          ,VILLA NUEVA                ,115
1             ,T9           ,VILLA CANALES              ,116
1             ,T9           ,PETAPA                     ,117
2             ,T5           ,GUASTATOYA                 ,201
2             ,T5           ,MORAZÁN                    ,202
2             ,T5           ,SAN AGUSTÍN ACASAGUASTLÁN  ,203
2             ,T5           ,SAN CRISTÓBAL ACASGUASTLAN ,204
2             ,T5           ,EL JÍCARO                  ,205
2             ,T5           ,SANSARE                    ,206
2             ,T5           ,SANARATE                   ,207
2             ,T5           ,SAN ANTONIO LA PAZ         ,208
3             ,T9           ,ANTIGUA GUATEMALA          ,301
3             ,T9           ,JOCOTENANGO                ,302
3             ,T5           ,PASTORES                   ,303
3             ,T6           ,SUMPANGO                   ,304
3             ,T6           ,SANTO DOMINGO XENACOJ      ,305
3             ,T6           ,SANTIAGO SACATEPÞQUEZ      ,306
3             ,T9           ,SAN BARTOLOMÉ MILPAS ALTAS ,307
3             ,T9           ,SAN LUCAS SACATEPÉQUEZ     ,308
3             ,T9           ,SANTA LUCÍA MILPAS ALTAS   ,309
3             ,T5           ,MAGDALENA MILPAS ALTAS     ,310
3             ,T6           ,SANTA MARÍA DE JESÚS       ,311
3             ,T5           ,CIUDAD VIEJA               ,312
3             ,T5           ,SAN MIGUEL DUEÑAS          ,313
3             ,T7           ,ALOTENANGO                 ,314
3             ,T9           ,SAN ANTONIO AGUAS CALIENTES,315
3             ,T9           ,SANTA CATARINA BARAHONA    ,316
4             ,T9           ,CHIMALTENANGO              ,401
4             ,T1           ,SAN JOSÉ POAQUIL           ,402
4             ,T1           ,SAN MARTÍN JILOTEPEQUE     ,403
4             ,T6           ,COMALAPA                   ,404
4             ,T6           ,SANTA APOLONIA             ,405
4             ,T1           ,TECPÁN GUATEMALA           ,406
4             ,T6           ,PATZÚN                     ,407
4             ,T7           ,POCHUTA                    ,408
4             ,T6           ,PATZICÍA                   ,409
4             ,T6           ,SANTA CRUZ BALANYÁ         ,410
4             ,T1           ,ACATENANGO                 ,411
4             ,T7           ,YEPOCAPA                   ,412
4             ,T6           ,SAN ANDRÉS IZTAPA          ,413
4             ,T6           ,PARRAMOS                   ,414
4             ,T5           ,ZARAGOZA                   ,415
4             ,T9           ,EL TEJAR                   ,416
5             ,T3           ,ESCUINTLA                  ,501
5             ,T7           ,SANTA LUCIA COTZULMALGUAPA ,502
5             ,T7           ,LA DEMOCRACIA              ,503
5             ,T7           ,SIQUINALÁ                  ,504
5             ,T4           ,MASAGUA                    ,505
5             ,T4           ,TIQUISATE                  ,506
5             ,T4           ,LA GOMERA                  ,507
5             ,T4           ,GUANAGAZAPA                ,508
5             ,T7           ,SAN JOSÉ                   ,509
5             ,T7           ,IZTAPA                     ,510
5             ,T9           ,PALÍN                      ,511
5             ,T4           ,SAN VICENTE PACAYA         ,512
5             ,T4           ,NUEVA CONCEPCIÓN           ,513
6             ,T5           ,CUILAPA                    ,601
6             ,T5           ,BARBERENA                  ,602
6             ,T4           ,SANTA ROSA DE LIMA         ,603
6             ,T4           ,CASILLAS                   ,604
6             ,T4           ,SAN RAFAEL LAS FLORES      ,605
6             ,T4           ,ORATORIO                   ,606
6             ,T4           ,SAN JUAN TECUACO           ,607
6             ,T4           ,CHIQUIMULILLA              ,608
6             ,T4           ,TAXISCO                    ,609
6             ,T4           ,SANTA MARÍA IXHUATÁN       ,610
6             ,T5           ,GUAZACAPÁN                 ,611
6             ,T5           ,SANTA CRUZ NARANJO         ,612
6             ,T4           ,PUEBLO NUEVO VIÑAS         ,613
6             ,T4           ,NUEVA SANTA ROSA           ,614
7             ,T1           ,SOLOLÁ                     ,701
7             ,T6           ,SAN JOSÉ CHACAYÁ           ,702
7             ,T9           ,SANTA MARÍA VISITACIÓN     ,703
7             ,T6           ,SANTA LUCÍA UTATLÁN        ,704
7             ,T1           ,NAHUALÁ                    ,705
7             ,T1           ,SANTA CATARINA IXTAHUACÁN  ,706
7             ,T6           ,SANTA CLARA LA LAGUNA      ,707
7             ,T1           ,CONCEPCIÓN                 ,708
7             ,T6           ,SAN ANDRÉS SEMETABAJ       ,709
7             ,T9           ,PANAJACHEL                 ,710
7             ,T1           ,SANTA CATARINA PALAPÓ      ,711
7             ,T6           ,SAN ANTONIO PALAPÓ         ,712
7             ,T6           ,SAN LUCAS TOLIMÁN          ,713
7             ,T1           ,SANTA CRUZ LA LAGUNA       ,714
7             ,T1           ,SAN PABLO LA LAGUNA        ,715
7             ,T6           ,SAN MARCOS LA LAGUNA       ,716
7             ,T6           ,SAN JUAN LA LAGUNA         ,717
7             ,T9           ,SAN PEDRO LA LAGUNA        ,718
7             ,T6           ,SANTIAGO ATITLÁN           ,719
8             ,T9           ,TOTONICAPÁN                ,801
8             ,T6           ,SAN CRISTÓBAL TOTONICAPÁN  ,802
8             ,T6           ,SAN FRANCISCO EL ALTO      ,803
8             ,T6           ,SAN ANDRÉS XECUL           ,804
8             ,T1           ,MOMOSTENANGO               ,805
8             ,T1           ,SANTA MARÍA CHIQUIMULA     ,806
8             ,T1           ,SANTA LUCIA LA REFORMA     ,807
8             ,T1           ,SAN BARTOLO                ,808
9             ,T9           ,QUETZALTENANGO             ,901
9             ,T5           ,SALCAJÁ                    ,902
9             ,T9           ,OLINTEPEQUE                ,903
9             ,T5           ,SAN CARLOS SIJA            ,904
9             ,T4           ,SIBILIA                    ,905
9             ,T1           ,CABRICÁN                   ,906
9             ,T1           ,CAJOLÁ                     ,907
9             ,T1           ,SAN MIGUEL SIGÜILA         ,908
9             ,T6           ,SAN JUAN OSTUNCALCO        ,909
9             ,T9           ,SAN MATEO                  ,910
9             ,T1           ,CONCEPCIÓN CHIQUIRICHAPA   ,911
9             ,T1           ,SAN MARTÍN SACATEPÉQUEZ    ,912
9             ,T6           ,ALMOLONGA                  ,913
9             ,T9           ,CANTEL                     ,914
9             ,T1           ,HUITÁN                     ,915
9             ,T1           ,ZUNIL                      ,916
9             ,T7           ,COLOMBA                    ,917
9             ,T6           ,SAN FRANCISCO LA UNIÓN     ,918
9             ,T7           ,EL PALMAR                  ,919
9             ,T7           ,COATEPEQUE                 ,920
9             ,T7           ,GÉNOVA                     ,921
9             ,T7           ,FLORES COSTA CUCA          ,922
9             ,T9           ,LA ESPERANZA               ,923
9             ,T1           ,PALESTINA DE LOS ALTOS     ,924
10            ,T9           ,MAZATENANGO                ,1001
10            ,T7           ,CUYOTENANGO                ,1002
10            ,T7           ,SAN FRANCISCO ZAPOTITLÁN   ,1003
10            ,T7           ,SAN BERNANDINO             ,1004
10            ,T7           ,SAN JOSÉ EL IDOLO          ,1005
10            ,T7           ,SANTO DOMINGO SUCHITEPÉQUEZ,1006
10            ,T4           ,SAN LORENZO                ,1007
10            ,T7           ,SAMAYAC                    ,1008
10            ,T7           ,SAN PABLO JOCOPILA         ,1009
10            ,T7           ,SAN ANTONIO SUCHITEPÉQUEZ  ,1010
10            ,T7           ,SAN MIGUEL PANAN           ,1011
10            ,T7           ,SAN GABRIEL                ,1012
10            ,T7           ,CHICACAO                   ,1013
10            ,T7           ,PATULUL                    ,1014
10            ,T7           ,SANTA BARBARA              ,1015
10            ,T7           ,SAN JUAN BAUTISTA          ,1016
10            ,T7           ,SANTO TOMAS LA UNIÓN       ,1017
10            ,T7           ,ZUNILITO                   ,1018
10            ,T7           ,PUEBLO NUEVO               ,1019
10            ,T7           ,RÍO BRAVO                  ,1020
10            ,             ,SAN JOSÉ LA MÁQUINA        ,1021
11            ,T3           ,RETALHULEU                 ,1101
11            ,T7           ,SAN SEBASTIÁN              ,1102
11            ,T7           ,SANTA CRUZ MULUÁ           ,1103
11            ,T7           ,SAN MARTÍN ZAPOTITLÁN      ,1104
11            ,T7           ,SAN FELIPE RETALHULEU      ,1105
11            ,T4           ,SAN ANDRÉS VILLA SECA      ,1106
11            ,T4           ,CHAMPERICO                 ,1107
11            ,T7           ,NUEVO SAN CARLOS           ,1108
11            ,T7           ,EL ASINTAL                 ,1109
12            ,T9           ,SAN MARCOS                 ,1201
12            ,T9           ,SAN PEDRO SACATEPÉQUEZ     ,1202
12            ,T4           ,SAN ANTONIO SACATEPÉQUEZ   ,1203
12            ,T1           ,COMITANCILLO               ,1204
12            ,T1           ,SAN MIGUEL IXTAHUACAN      ,1205
12            ,T1           ,CONCEPCIÓN TUTUAPA         ,1206
12            ,T1           ,TACANÁ                     ,1207
12            ,T4           ,SIBINAL                    ,1208
12            ,T1           ,TAJUMULCO                  ,1209
12            ,T4           ,TEJUTLA                    ,1210
12            ,T7           ,SAN RAFAEL PIE DE LA CUESTA,1211
12            ,T7           ,NUEVO PROGRESO             ,1212
12            ,T7           ,EL TUMBADOR                ,1213
12            ,T7           ,EL RODEO                   ,1214
12            ,T7           ,MALACATÁN                  ,1215
12            ,T7           ,CATARINA                   ,1216
12            ,T7           ,AYUTLA                     ,1217
12            ,T4           ,OCÓS                       ,1218
12            ,T7           ,SAN PABLO                  ,1219
12            ,T7           ,EL QUETZAL                 ,1220
12            ,T7           ,LA REFORMA                 ,1221
12            ,T7           ,PAJAPITA                   ,1222
